"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"495","개새푸드","서울특별시 영등포구 여의도동 85-1번지 2017한강몽땅여름축제(문화유람선 아라) ","서울특별시 영등포구 여의동로 290 (여의도동 2017한강몽땅여름축제(문화유람선 아라))","2017-08-02","운영중","","","","","3.00","150897","","","2017","N","3","휴게음식점","푸드트럭","","","194555.73440100000  ","447370.94940600000  ","3180000-104-2017-00213","영업","2018-04-26"
"496","겹겹이쿡샌드","서울특별시 양천구 목동 917-6번지 행복한세상백화점 ","서울특별시 양천구 목동동로 309 (목동 행복한세상백화점)","2017-08-21","운영중","","","","","10.00","158721","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","189040.29024500000  ","447745.90113700000  ","3140000-104-2017-00136","영업","2018-04-26"
"497","밥(BOP)","서울특별시 양천구 목동 917-6번지 행복한세상백화점 ","서울특별시 양천구 목동동로 309 (목동 행복한세상백화점)","2017-08-21","운영중","","","","","10.00","158721","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","189040.29024500000  ","447745.90113700000  ","3140000-104-2017-00137","영업","2018-04-26"
"498","스테이크 트럭","서울특별시 서초구 서초동 700번지 예술의전당 계단광장 ","서울특별시 서초구 남부순환로 2406 (서초동 예술의전당 계단광장)","2017-06-05","운영중","","","","","10.00","137718","","","2017","N","10","휴게음식점","푸드트럭","","","201257.33892400000  ","442311.12846500000  ","3210000-104-2017-00253","영업","2018-04-26"
"499","타이거어퍼컷","서울특별시 영등포구 여의도동 85-1번지 한강아라호 선착장 일대 ","서울특별시 영등포구 여의동로 290 (여의도동 한강아라호 선착장 일대)","2017-08-03","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194555.73440100000  ","447370.94940600000  ","3180000-104-2017-00216","영업","2018-04-26"
"500","헝그리베어","서울특별시 강남구 삼성동 159번지 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스 동측광장)","2017-08-08","운영중","","","","","9.41","135090","","","2017","N","9.41","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00534","영업","2018-04-26"
"502","푸드트럭키","서울특별시 강남구 삼성동 159번지 ","서울특별시 강남구 영동대로 513 지상1층 (삼성동 코엑스 동측광장)","2017-05-31","운영중","","","","","9.00","135090","","","2017","N","9","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00375","영업","2018-04-26"
"503","코카인(KORCAINE)","서울특별시 영등포구 여의도동 85-1번지 이랜드크루즈 선착장 앞 둔치(82너1241) ","서울특별시 영등포구 여의동로 290 (여의도동 이랜드크루즈 선착장 앞 둔치(82너1241))","2017-07-19","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194555.73440100000  ","447370.94940600000  ","3180000-104-2017-00196","영업","2018-04-26"
"504","미쿡스테이크(83두8318)","서울특별시 마포구 상암동 487-105번지 난지한강공원잔디마당뒤주차장사이 ","","2017-09-13","운영중","","","","","10.00","121832","","","2017","N","10","휴게음식점","푸드트럭","","","189659.393991       ","451263.28271        ","3130000-104-2017-00339","영업","2018-04-26"
"505","코끼리떡볶기","서울특별시 종로구 세종로 1-68번지 ","서울특별시 종로구 세종대로 지하 172 (세종로)","2017-08-17","운영중","","","","","9.00","110820","","","","","","","","","","197949.42580200000  ","452453.63418600000  ","3000000-104-2017-00165","영업","2018-04-26"
"506","MADRUSH(메드러쉬)","서울특별시 서초구 반포동 115-5번지 반포한강공원 달빛광장 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원 달빛광장)","2017-07-20","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00328","영업","2018-04-26"
"507","치킨집","서울특별시 서초구 반포동 115-5번지 반포한강공원 달빛광장 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원 달빛광장)","2017-07-20","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00329","영업","2018-04-26"
"508","Gorilla Drink(고릴라 드링크)","서울특별시 서초구 양재동 25번지 서초문화예술회관 주차장 ","서울특별시 서초구 강남대로 201 (양재동 서초문화예술회관 주차장)","2017-09-15","운영중","","","","","10.00","137889","","","2017","N","10","휴게음식점","푸드트럭","","","203180.32062400000  ","442488.39803900000  ","3210000-104-2017-00410","영업","2018-04-26"
"509","Grab N Go(그랩앤고)","서울특별시 서초구 반포동 115-5번지 반포한강공원 달빛광장 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원 달빛광장 )","2017-07-25","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00338","영업","2018-04-26"
"510","미쿡스테이크","서울특별시 영등포구 여의도동 8번지 멀티플라자일대 ","서울특별시 영등포구 여의동로 330 (여의도동 멀티플라자일대)","2017-09-22","운영중","","","","","5.00","150010","","","2017","N","5","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00257","영업","2018-04-26"
"113","Japanese (제페니즈)","서울특별시 서초구 반포동 115-5번지 반포한강공원 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원)","2017-03-23","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00115","영업","2018-04-26"
"137","아일랜드","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(89주8460) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(89주8460))","2016-04-14","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00107","영업","2018-04-26"
